Number,Name,Gender,Birth,Breed,ZipCode,IssuedDate,ExpiredDate
41524,KANYE,M,2016,Yorkshire Terrier,10011,3/6/2016,3/6/2017
301294,WATSON,M,2017,Beagle Crossbreed,10025,11/3/2018,11/3/2023
83407,IVY,F,2014,"Poodle, Toy",10002,9/22/2016,9/22/2017
292953,MOLLY,F,2011,Unknown,10305,9/10/2018,10/6/2019
229984,LOKI,M,2016,American Pit Bull Mix / Pit Bull Mix,11226,6/19/2017,6/19/2018
51285,GOTTI,M,2010,American Pit Bull Terrier/Pit Bull,11104,4/25/2016,5/31/2017
32607,BELLA,F,2005,German Shepherd Crossbreed,11217,1/11/2016,3/8/2017
231676,NOODLE,M,2013,Unknown,11222,7/7/2017,4/17/2022
10440,LUCY,F,2014,Chihuahua,10016,4/27/2015,4/27/2016
5574,SCOUT,M,2014,Shih Tzu,11368,3/4/2015,3/4/2016
280883,DAISY,F,2010,Yorkshire Terrier,11379,6/26/2018,7/27/2019
234565,LOLA,F,2010,Beagle Crossbreed,11221,8/1/2017,8/1/2018
35442,KAPTAIN,M,2012,Yorkshire Terrier,10467,1/30/2016,2/17/2017
133398,MAX,M,2014,Unknown,11385,11/14/2016,11/14/2017
224857,HAPPY,M,2014,Pomeranian,10033,4/29/2017,6/4/2018
153567,KAHLUA,F,2009,Labrador Retriever,10466,4/9/2017,4/26/2018
129448,TIBBY,F,2013,Labrador Retriever,10026,10/1/2016,10/1/2021
237991,LOLA,F,2016,Goldendoodle,10314,8/31/2017,8/31/2022
280884,SCOUT,F,2009,"Poodle, Toy",10024,6/26/2018,8/17/2019
74359,BELLA,F,2006,German Shepherd Dog,10312,8/9/2016,6/29/2017
223232,BUTTERS,M,2012,"Bull Dog, English",11206,4/11/2017,4/11/2019
169101,NELLIE,F,2016,Chihuahua,11220,6/27/2017,6/27/2018
237239,PAOLA,F,2013,Unknown,10038,8/23/2017,10/5/2019
297978,HUGO,M,2009,Pomeranian,11201,10/13/2018,8/31/2019
132774,JOLIETTE,F,2016,Terrier Crossbreed,10472,11/6/2016,11/6/2017
235953,JAMES,M,2010,Chihuahua,10025,8/11/2017,9/1/2018
186888,NAME NOT PROVIDED,M,2017,Beagle,11377,9/13/2017,9/13/2018
26730,UNKNOWN,M,2013,Beagle,11218,11/7/2015,11/7/2016
142825,ROCKY,M,2016,Shih Tzu,10304,2/6/2017,2/6/2018
104398,MILO,M,2013,Shih Tzu,10026,11/4/2015,11/25/2018
59421,JANE,F,2015,Golden Retriever,10031,6/2/2016,6/17/2017
135600,WINSTON,M,2016,Shiba Inu,11361,12/8/2016,12/8/2017
235526,KASHI-MAR,F,2017,Miniature Schnauzer,11201,8/8/2017,8/8/2018
249842,KINA,F,2017,Shiba Inu,11101,12/27/2017,12/27/2018
287201,SNOWY,F,2005,American Eskimo dog,10456,8/2/2018,8/2/2019
14507,ROONEY,M,2011,Jack Russell Terrier,10471,6/11/2015,6/11/2016
275216,TEDDY,M,2015,Maltese Crossbreed,10465,5/21/2018,7/4/2019
182325,SKYLAR,F,2017,Golden Retriever,10021,8/26/2017,8/26/2018
264034,DIESEL,M,2014,American Staffordshire Terrier,11413,3/20/2018,3/25/2019
104898,BABY,M,2005,"Poodle, Miniature",10035,12/6/2015,11/6/2018
125475,AUTUMN,F,2016,Pug,11694,8/21/2016,8/21/2018
216462,ACE,M,2012,American Eskimo dog,11221,1/16/2017,1/16/2020
261740,CYRUS,M,2014,Beagle,11239,3/8/2018,4/23/2019
5473,DANTE,M,2008,Boxer,10312,3/3/2015,1/31/2016
134723,KIMO,M,2014,French Bulldog,11428,11/30/2016,12/29/2017
59691,PRINCESS,F,2006,American Pit Bull Mix / Pit Bull Mix,10027,6/3/2016,4/15/2020
127844,ALEX,M,2007,Unknown,10024,9/15/2016,9/29/2017
15382,BOWIE,M,2014,"Dachshund, Long Haired",11238,6/22/2015,6/22/2016
